trial,tau_scaler,theta_scaler,prob_succ_no_ai,prob_succ_other_decision,ai_count,human_count,prob_other_decision
3,0.8,1.0,0.12,0.2,21,0,0.5183251216999564
3,1.0,1.0,0.28,0.36333333333333334,21,0,0.5390867524663957
3,1.2,1.0,0.48,0.5933333333333334,21,0,0.5711798826082736
3,1.4,1.0,0.6766666666666666,0.7433333333333333,21,0,0.5898470998958403
3,1.6,1.0,0.83,0.8633333333333333,21,0,0.6066693561082115
3,1.8,1.0,0.9166666666666666,0.9233333333333333,21,0,0.6169604483124169
3,2.0,1.0,0.9533333333333334,0.9533333333333334,21,0,0.6216756663298777
3,0.6,2.0,0.04666666666666667,0.08333333333333333,21,0,0.5083325618141193
3,0.8,2.0,0.12,0.2,21,0,0.5366010793535907
3,1.0,2.0,0.28,0.36333333333333334,21,0,0.5776986807676787
3,1.2,2.0,0.48,0.5933333333333334,21,0,0.6395319681072323
3,1.4,2.0,0.6766666666666666,0.7433333333333333,21,0,0.6740733697361547
3,1.6,2.0,0.83,0.8633333333333333,21,0,0.7040516276171624
3,1.8,2.0,0.9166666666666666,0.9233333333333333,21,0,0.7217850439377067
3,2.0,2.0,0.9533333333333334,0.9533333333333334,21,0,0.7297458151019794
3,0.6,3.0,0.04666666666666667,0.08333333333333333,21,0,0.5124973964842103
3,0.8,3.0,0.12,0.2,21,0,0.5547792351072148
3,1.0,3.0,0.28,0.36333333333333334,21,0,0.6153837563911821
3,1.2,3.0,0.48,0.5933333333333334,21,0,0.7026606543447315
3,1.4,3.0,0.6766666666666666,0.7433333333333333,21,0,0.7483817216070642
3,1.6,3.0,0.83,0.8633333333333333,21,0,0.7858349830425586
3,1.8,3.0,0.9166666666666666,0.9233333333333333,21,0,0.8069013157667836
3,2.0,3.0,0.9533333333333334,0.9533333333333334,21,0,0.8160782725804958
3,0.6,4.0,0.04666666666666667,0.08333333333333333,21,0,0.5166604965694114
3,0.8,4.0,0.12,0.2,21,0,0.5728119915700138
3,1.0,4.0,0.28,0.36333333333333334,21,0,0.6517332553012614
3,1.2,4.0,0.48,0.5933333333333334,21,0,0.7589015434364681
3,1.4,4.0,0.6766666666666666,0.7433333333333333,21,0,0.8105109071936242
3,1.6,4.0,0.83,0.8633333333333333,21,0,0.8498382937101527
3,1.8,4.0,0.9166666666666666,0.9233333333333333,21,0,0.8706442018540326
3,2.0,4.0,0.9533333333333334,0.9533333333333334,21,0,0.8793900404068328
3,0.6,5.0,0.04666666666666667,0.08333333333333333,21,0,0.5208212853727429
3,0.8,5.0,0.12,0.2,21,0,0.5906532827008858
3,1.0,5.0,0.28,0.36333333333333334,21,0,0.6863980785519272
3,1.2,5.0,0.48,0.5933333333333334,21,0,0.8074201564513485
3,1.4,5.0,0.6766666666666666,0.7433333333333333,21,0,0.8601656725479503
3,1.6,5.0,0.83,0.8633333333333333,21,0,0.8972159750827483
3,1.8,5.0,0.9166666666666666,0.9233333333333333,21,0,0.9155475257074139
3,2.0,5.0,0.9533333333333334,0.9533333333333334,21,0,0.9229651339114799
3,0.6,6.0,0.04666666666666667,0.08333333333333333,21,0,0.52497918747894
3,0.8,6.0,0.12,0.2,21,0,0.6082590307465144
3,1.0,6.0,0.28,0.36333333333333334,21,0,0.7190996574163839
3,1.2,6.0,0.48,0.5933333333333334,21,0,0.8481288363433408
3,1.4,6.0,0.6766666666666666,0.7433333333333333,21,0,0.8984390721023634
3,1.6,6.0,0.83,0.8633333333333333,21,0,0.9308615796566532
3,1.8,6.0,0.9166666666666666,0.9233333333333333,21,0,0.9458332995187639
3,2.0,6.0,0.9533333333333334,0.9533333333333334,21,0,0.9516623712800948
3,0.6,7.0,0.04666666666666667,0.08333333333333333,21,0,0.5291336290720469
3,0.8,7.0,0.12,0.2,21,0,0.6255875599432235
3,1.0,7.0,0.28,0.36333333333333334,21,0,0.7496350184608359
3,1.2,7.0,0.48,0.5933333333333334,21,0,0.8814952601897398
3,1.4,7.0,0.6766666666666666,0.7433333333333333,21,0,0.927124363403659
3,1.6,7.0,0.83,0.8633333333333333,21,0,0.9540575002521255
3,1.8,7.0,0.9166666666666666,0.9233333333333333,21,0,0.9656654948701334
3,2.0,7.0,0.9533333333333334,0.9533333333333334,21,0,0.9700165237143584
3,0.6,8.0,0.04666666666666667,0.08333333333333333,21,0,0.5332840382511312
3,0.8,8.0,0.12,0.2,21,0,0.6425999592827029
3,1.0,8.0,0.28,0.36333333333333334,21,0,0.7778763437357722
3,1.2,8.0,0.48,0.5933333333333334,21,0,0.9083234014578946
3,1.4,8.0,0.6766666666666666,0.7433333333333333,21,0,0.948175011823556
3,1.6,8.0,0.83,0.8633333333333333,21,0,0.9697243080130495
3,1.8,8.0,0.9166666666666666,0.9233333333333333,21,0,0.9784022836386128
3,2.0,8.0,0.9533333333333334,0.9533333333333334,21,0,0.981536680184294
4,0.6,1.0,0.0,0.0,21,0,0.5016666604938546
4,0.8,1.0,0.0,0.0,21,0,0.5166604965694115
4,1.0,1.0,0.0,0.0,21,0,0.5366010793535908
4,1.2,1.0,0.0,0.0,21,0,0.5703632448561156
4,1.4,1.0,0.0,0.0,21,0,0.5970848732418457
4,1.6,1.0,0.0,0.0,21,0,0.6098464124263923
4,1.8,1.0,0.0,0.0,21,0,0.6169604483124169
4,2.0,1.0,0.0,0.0,21,0,0.6216756663298777
4,0.6,2.0,0.0,0.0,21,0,0.5033332839514952
4,0.8,2.0,0.0,0.0,21,0,0.5332840382511312
4,1.0,2.0,0.0,0.0,21,0,0.5728119915700138
4,1.2,2.0,0.0,0.0,21,0,0.6379936706609838
4,1.4,2.0,0.0,0.0,21,0,0.6871151515389217
4,1.6,2.0,0.0,0.0,21,0,0.7095775762760541
4,1.8,2.0,0.0,0.0,21,0,0.7217850439377066
4,2.0,2.0,0.0,0.0,21,0,0.7297458151019794
4,0.6,3.0,0.0,0.0,21,0,0.5049998333399998
4,0.8,3.0,0.0,0.0,21,0,0.549833997312478
4,1.0,3.0,0.0,0.0,21,0,0.6082590307465143
4,1.2,3.0,0.0,0.0,21,0,0.7005671424739729
4,1.4,3.0,0.0,0.0,21,0,0.7649478037637647
4,1.6,3.0,0.0,0.0,21,0,0.7924899414403643
4,1.8,3.0,0.0,0.0,21,0,0.8069013157667835
4,2.0,3.0,0.0,0.0,21,0,0.8160782725804957
4,0.6,4.0,0.0,0.0,21,0,0.5066662716330296
4,0.8,4.0,0.0,0.0,21,0,0.5662743941954392
4,1.0,4.0,0.0,0.0,21,0,0.6425999592827027
4,1.2,4.0,0.0,0.0,21,0,0.7564535292304043
4,1.4,4.0,0.0,0.0,21,0,0.8282582822126531
4,1.6,4.0,0.0,0.0,21,0,0.8565181136966128
4,1.8,4.0,0.0,0.0,21,0,0.8706442018540326
4,2.0,4.0,0.0,0.0,21,0,0.8793900404068328
4,0.6,5.0,0.0,0.0,21,0,0.5083325618141193
4,0.8,5.0,0.0,0.0,21,0,0.5825702064623146
4,1.0,5.0,0.0,0.0,21,0,0.6755363229894542
4,1.2,5.0,0.0,0.0,21,0,0.8048153229861598
4,1.4,5.0,0.0,0.0,21,0,0.8772526294600783
4,1.6,5.0,0.0,0.0,21,0,0.9032031749460475
4,1.8,5.0,0.0,0.0,21,0,0.9155475257074139
4,2.0,5.0,0.0,0.0,21,0,0.9229651339114799
4,0.6,6.0,0.0,0.0,21,0,0.5099986668799655
4,0.8,6.0,0.0,0.0,21,0,0.598687660112452
4,1.0,6.0,0.0,0.0,21,0,0.7068222210935675
4,1.2,6.0,0.0,0.0,21,0,0.8455347349164654
4,1.4,6.0,0.0,0.0,21,0,0.9137258055040832
4,1.6,6.0,0.0,0.0,21,0,0.9358361235948262
4,1.8,6.0,0.0,0.0,21,0,0.9458332995187639
4,2.0,6.0,0.0,0.0,21,0,0.9516623712800948
4,0.6,7.0,0.0,0.0,21,0,0.5116645498437119
4,0.8,7.0,0.0,0.0,21,0,0.6145944982675494
4,1.0,7.0,0.0,0.0,21,0,0.7362691494896232
4,1.2,7.0,0.0,0.0,21,0,0.8790360490745159
4,1.4,7.0,0.0,0.0,21,0,0.9401013281535021
4,1.6,7.0,0.0,0.0,21,0,0.9579794147448828
4,1.8,7.0,0.0,0.0,21,0,0.9656654948701334
4,2.0,7.0,0.0,0.0,21,0,0.9700165237143585
4,0.6,8.0,0.0,0.0,21,0,0.5133301737382324
4,0.8,8.0,0.0,0.0,21,0,0.6302602229177513
4,1.0,8.0,0.0,0.0,21,0,0.7637470028054562
4,1.2,8.0,0.0,0.0,21,0,0.9060785039807289
4,1.4,8.0,0.0,0.0,21,0,0.9587771780826171
4,1.6,8.0,0.0,0.0,21,0,0.9727038322642967
4,1.8,8.0,0.0,0.0,21,0,0.9784022836386128
4,2.0,8.0,0.0,0.0,21,0,0.981536680184294
5,0.6,1.0,0.08333333333333333,0.29333333333333333,5,16,0.520821285372743
5,0.8,1.0,0.12,0.5433333333333333,5,16,0.5382584045560131
5,1.0,1.0,0.16333333333333333,0.71,5,16,0.542397940774351
5,1.2,1.0,0.17333333333333334,0.85,5,16,0.5374298453437495
5,1.4,1.0,0.16333333333333333,0.9233333333333333,5,16,0.5091656397985503
5,1.6,1.0,0.16,0.97,5,16,0.4925005624493796
5,1.8,1.0,0.14,0.9866666666666667,5,16,0.46339892064640925
